arquivo,antena,unidade,teste,ensaio,tempo_s,status,latencia_ms,rssi_link_dbm,channel_burst,bssid_burst
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,191.933,OK,8.57,-51.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,196.082,OK,7.97,-50.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,200.229,OK,6.55,-51.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,204.357,OK,3.45,-50.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,208.497,OK,5.67,-49.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,212.636,OK,4.87,-50.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,216.797,OK,8.59,-52.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,220.972,OK,12.68,-50.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,225.259,OK,4.46,-50.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,229.384,OK,3.86,-50.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,233.513,OK,3.19,-50.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,237.645,OK,4.03,-45.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,241.788,OK,5.83,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,0.0,OK,19.45,-59.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,4.097,OK,6.9,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,8.233,OK,14.51,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,12.494,OK,28.11,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,16.898,OK,57.4,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,21.079,OK,14.34,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,25.273,OK,15.51,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,29.536,OK,3.59,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,33.653,OK,3.11,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,37.816,OK,9.32,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,41.965,OK,7.99,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,46.137,OK,12.43,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,50.398,OK,28.66,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,54.54,OK,9.02,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,58.694,OK,5.9,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,62.838,OK,4.87,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,66.986,OK,7.56,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,71.136,OK,7.82,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,75.29,OK,6.57,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,79.449,OK,8.87,-48.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,83.63,OK,13.11,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,87.801,OK,9.24,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,91.941,OK,3.3,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,96.238,OK,6.44,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,100.435,OK,14.81,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,104.576,OK,4.84,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,108.73,OK,7.43,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,112.889,OK,6.08,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,117.074,OK,16.96,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,121.549,OK,69.16,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,125.729,OK,9.53,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,129.87,OK,5.31,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,134.008,OK,4.27,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,138.164,OK,5.6,-52.0,11,84:0B:BB:2A:35:70
