fase,antena,unidade,cenario,teste,arquivo,sample_idx,rssi
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,91,-65
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,92,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,93,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,94,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,95,-65
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,96,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,97,-65
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,98,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,99,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,100,-65
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,101,-65
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,102,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,103,-65
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,104,-66
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,105,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,106,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,107,-65
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,108,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,109,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,110,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,111,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,112,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,113,-65
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,114,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,115,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,116,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,117,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,118,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,119,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,120,-62
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,121,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,122,-63
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,123,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,124,-61
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,125,-58
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,126,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,127,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,128,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,129,-61
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,130,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,131,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,132,-61
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,133,-61
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,134,-61
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,135,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,136,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,137,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,138,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,139,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,140,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,141,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,142,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,143,-62
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,144,-61
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,145,-62
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,146,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,147,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,148,-61
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,149,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,150,-57
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,151,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,152,-57
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,153,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,154,-64
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,155,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,156,-58
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,157,-57
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,158,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,159,-58
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,160,-58
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,161,-58
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,162,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,163,-58
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,164,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,165,-58
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,166,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,167,-57
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,168,-56
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,169,-57
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,170,-58
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,171,-57
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,172,-57
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,173,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,174,-58
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,175,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,176,-57
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,177,-57
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,178,-56
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,179,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,180,-59
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,181,-60
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,182,-60
Fase 1,A0,U1,BASE,T1,A0_R1.txt,1,-41
Fase 1,A0,U1,BASE,T1,A0_R1.txt,2,-47
Fase 1,A0,U1,BASE,T1,A0_R1.txt,3,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,4,-40
Fase 1,A0,U1,BASE,T1,A0_R1.txt,5,-47
Fase 1,A0,U1,BASE,T1,A0_R1.txt,6,-49
Fase 1,A0,U1,BASE,T1,A0_R1.txt,7,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,8,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,9,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,10,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,11,-48
Fase 1,A0,U1,BASE,T1,A0_R1.txt,12,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,13,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,14,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,15,-42
Fase 1,A0,U1,BASE,T1,A0_R1.txt,16,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,17,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,18,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,19,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,20,-42
Fase 1,A0,U1,BASE,T1,A0_R1.txt,21,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,22,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,23,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,24,-42
Fase 1,A0,U1,BASE,T1,A0_R1.txt,25,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,26,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,27,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,28,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,29,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,30,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,31,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,32,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,33,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,34,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,35,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,36,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,37,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,38,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,39,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,40,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,41,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,42,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,43,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,44,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,45,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,46,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,47,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,48,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,49,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,50,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,51,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,52,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,53,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,54,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,55,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,56,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,57,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,58,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,59,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,60,-44
