antena,base_media,case_media,perda_case_db
A4,-38.97726715298936,-45.89788653909254,6.920619386103176
A0,-44.05833333333333,-56.65934065934066,12.601007326007327
A3,-40.10052511017979,-60.13186813186813,20.031343021688343
A1,-34.71966205837173,-58.08791208791209,23.368250029540356
