antenna,score,rssi_p10_dbm,tput_median_bps,plr_median_pct,ttr_median_s
A41,72.0,-63,1800600,0.0,999.0
A42,69.8,-69,2410080,0.0,999.0
A51,55.6,-59,0.0,0.0,999.0
A52,65.6,-64,1435232,0.0,999.0
A53,93.3,-63,3461936,0.0,999.0
