local,antena,score,competiu_com
MESA,A53,93.3,A41+A42+A51+A52+A53
MESA,A51,89.0,A41+A42+A51+A52+A53
MESA,A42,60.3,A41+A42+A51+A52+A53
MESA,A41,56.9,A41+A42+A51+A52+A53
MESA,A52,47.2,A41+A42+A51+A52+A53
