antena,ensaios,unidades,fail_rate_mean,fail_rate_std,lat_mean,lat_std_between_runs,rssi_link_mean,rssi_link_std_between_runs,ranking
A4,2,1,0.0,0.0,8.045767569124425,2.1509182204345976,-43.9573732718894,2.585664658394123,1
A0,1,1,0.0,,8.182203389830509,,-47.779661016949156,,2
A5,2,1,0.0,0.0,8.430349929873774,0.8538130911923624,-46.45266479663394,4.586276731552859,3
