antena,unidade,ensaios,fail_rate_mean,fail_rate_std,lat_mean,lat_std_between_runs,rssi_link_mean,rssi_link_std_between_runs
A0,U1,1,0.0,,8.182203389830509,,-47.779661016949156,
A4,U1,2,0.0,0.0,8.045767569124425,2.1509182204345976,-43.9573732718894,2.585664658394123
A5,U3,2,0.0,0.0,8.430349929873774,0.8538130911923624,-46.45266479663394,4.586276731552859
