arquivo,basename,antena,unidade,teste,ensaio,tempo_abs_ms,tempo_rel_s,status,latencia_ms,ip,channel,bssid,rssi_link_dbm,reason
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,155380,138.164,OK,5.6,192.168.15.1,11,84:0B:BB:2A:35:70,-52.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,159536,142.32,OK,6.64,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,163710,146.494,OK,7.23,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,167869,150.653,OK,4.92,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,172023,154.807,OK,4.72,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,176229,159.013,OK,4.16,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,180530,163.314,OK,10.89,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,184744,167.528,OK,22.13,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,188880,171.664,OK,5.35,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,192999,175.783,OK,5.16,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,197140,179.924,OK,4.61,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,201315,184.099,OK,11.44,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,205471,188.255,OK,11.18,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,209591,192.375,OK,3.12,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,213749,196.533,OK,8.5,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,217891,200.675,OK,6.76,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,222038,204.822,OK,5.4,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,226198,208.982,OK,9.95,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,230335,213.119,OK,5.19,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,234513,217.297,OK,12.24,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,238687,221.471,OK,8.86,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,242828,225.612,OK,6.58,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,247106,229.89,OK,4.02,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,251290,234.074,OK,13.11,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,255445,238.229,OK,11.27,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,259603,242.387,OK,6.91,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
