timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
55426,E,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,20,55426,,1,START_RUN,crc16=462A
55428,B,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,20,55428,,1,BLOCK1,crc16=2197
71836,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-73,1,2.75,0,2489544,0.0000,1562,0.0,1,20,71836,,1,,crc16=203C
86861,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-64,1,2.42,1,3162112,0.0000,1562,0.0,1,20,86861,,1,,crc16=CDB7
102108,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-68,1,2.48,2,3086744,0.0000,1562,0.0,1,20,102108,,1,,crc16=377C
117128,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-68,1,2.52,3,3139168,0.0000,1562,0.0,1,20,117128,,1,,crc16=E6ED
117128,B,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,20,117128,,2,BLOCK2,crc16=5685
133049,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-68,1,2.48,4,2973696,0.0000,1562,0.0,1,20,133049,,2,,crc16=FB01
148225,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-67,1,2.40,5,3076096,0.0000,1562,0.0,1,20,148225,,2,,crc16=5296
163278,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-68,1,2.39,6,3038408,0.0000,1562,0.0,1,20,163278,,2,,crc16=00AA
178313,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-68,1,2.39,7,3690496,0.0000,1562,0.0,1,20,178313,,2,,crc16=D08D
178313,B,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,20,178313,,3,BLOCK3,crc16=86A9
194271,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-64,1,2.48,8,2789376,0.0000,1562,0.0,1,20,194271,,3,,crc16=BEAE
209528,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-64,1,2.63,9,2744320,0.0000,1562,0.0,1,20,209528,,3,,crc16=C386
224577,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-62,1,2.66,10,1611360,0.0000,1562,0.0,1,20,224577,,3,,crc16=44C5
239636,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,-65,1,2.39,11,3242392,0.0000,1562,0.0,1,20,239636,,3,,crc16=5F57
239738,E,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,20,239738,,3,END_RUN,crc16=614B
