timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
469175,E,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,21,469175,,1,START_RUN,crc16=5299
469177,B,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,21,469177,,1,BLOCK1,crc16=B96B
484332,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-64,1,2.55,0,3593824,0.0000,1562,0.0,1,21,484332,,1,,crc16=8CA3
499382,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-61,1,2.61,1,3628232,0.0000,1562,0.0,1,21,499382,,1,,crc16=0CF5
514429,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-59,1,2.68,2,3644616,0.0000,1562,0.0,1,21,514429,,1,,crc16=BBCA
529482,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-59,1,2.72,3,3677384,0.0000,1562,0.0,1,21,529482,,1,,crc16=3217
529482,B,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,21,529482,,2,BLOCK2,crc16=4A02
545465,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-61,1,2.62,4,3652808,0.0000,1562,0.0,1,21,545465,,2,,crc16=043F
560518,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-61,1,2.53,5,3692128,0.0000,1562,0.0,1,21,560518,,2,,crc16=B724
575533,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-63,1,2.64,6,1906272,0.0000,1562,0.0,1,21,575533,,2,,crc16=5FC9
590624,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-60,1,2.57,7,3684760,0.0000,1562,0.0,1,21,590624,,2,,crc16=842B
590624,B,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,21,590624,,3,BLOCK3,crc16=3225
606598,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-59,1,2.61,8,3668376,0.0000,1562,0.0,1,21,606598,,3,,crc16=0F03
621642,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-61,1,2.62,9,3662640,0.0000,1562,0.0,1,21,621642,,3,,crc16=3C82
636703,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-58,1,2.63,10,3617584,0.0000,1562,0.0,1,21,636703,,3,,crc16=2D2B
651757,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,-60,1,2.95,11,3592192,0.0000,1562,0.0,1,21,651757,,3,,crc16=DEA4
651833,E,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,21,651833,,3,END_RUN,crc16=93D8
