timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
466865,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,466865,,1,START_RUN,crc16=E94B
466867,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,466867,,1,BLOCK1,crc16=6A33
482101,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-68,1,3.88,0,3312024,0.0000,1562,0.0,1,23,482101,,1,,crc16=587B
497816,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-67,1,9.34,1,3318576,2.2222,1562,0.0,1,23,497816,,1,,crc16=C859
512936,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-67,1,2.81,2,2980248,2.6316,1562,0.0,1,23,512936,,1,,crc16=E07C
528382,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-64,1,2.75,3,2170056,2.3256,1562,0.0,1,23,528382,,1,,crc16=FF1D
528382,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,528382,,2,BLOCK2,crc16=9FCC
544462,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-65,1,4.96,4,2354376,0.0000,1562,0.0,1,23,544462,,2,,crc16=5748
559653,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-66,1,2.50,5,2960584,0.0000,1562,0.0,1,23,559653,,2,,crc16=2BCF
574702,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-64,1,2.62,6,3510272,0.0000,1562,0.0,1,23,574702,,2,,crc16=1A2B
589748,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-64,1,2.61,7,3404592,0.0000,1562,0.0,1,23,589748,,2,,crc16=95DC
589748,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,589748,,3,BLOCK3,crc16=34CD
606242,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-67,1,2.50,8,2172512,0.0000,1562,0.0,1,23,606242,,3,,crc16=DFB6
621467,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-68,1,2.41,9,3352160,0.0000,1562,0.0,1,23,621467,,3,,crc16=2571
637438,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-61,1,2.46,10,3117056,1.9231,1562,0.0,1,23,637438,,3,,crc16=7C12
653591,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,-64,1,2.40,11,2803296,0.0000,1562,0.0,1,23,653591,,3,,crc16=708E
653651,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,653651,,3,END_RUN,crc16=A194
