timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
265123,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,23,265123,,1,START_RUN,crc16=2B1E
265125,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,23,265125,,1,BLOCK1,crc16=D9E7
280267,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-62,1,2.61,0,3362816,0.0000,1562,0.0,1,23,280267,,1,,crc16=F83F
295310,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-63,1,2.49,1,3385752,0.0000,1562,0.0,1,23,295310,,1,,crc16=466F
310353,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-61,1,3.01,2,3481600,0.0000,1562,0.0,1,23,310353,,1,,crc16=E353
325504,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-62,1,6.37,3,3427528,2.7778,1562,0.0,1,23,325504,,1,,crc16=1506
325504,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,23,325504,,2,BLOCK2,crc16=0A02
341443,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-61,1,2.50,4,3098208,0.0000,1562,0.0,1,23,341443,,2,,crc16=3EEE
357068,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-66,1,2.53,5,3483232,2.0408,1562,0.0,1,23,357068,,2,,crc16=8125
372125,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-63,1,2.46,6,3514368,0.0000,1562,0.0,1,23,372125,,2,,crc16=51A1
387616,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-62,1,2.40,7,3118688,0.0000,1562,0.0,1,23,387616,,2,,crc16=96B2
387616,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,23,387616,,3,BLOCK3,crc16=B437
403563,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-63,1,2.40,8,3594648,0.0000,1562,0.0,1,23,403563,,3,,crc16=85A8
418594,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-63,1,2.35,9,3094936,0.0000,1562,0.0,1,23,418594,,3,,crc16=7F52
433605,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-69,1,2.96,10,3453744,0.0000,1562,0.0,1,23,433605,,3,,crc16=3DD3
448620,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,-70,1,4.88,11,3253856,0.0000,1562,0.0,1,23,448620,,3,,crc16=CDD0
448719,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,23,448719,,3,END_RUN,crc16=402D
