timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
2193236,E,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,2193236,,1,START_RUN,crc16=69C4
2193238,B,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,2193238,,1,BLOCK1,crc16=7E4E
2208710,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-64,1,2.79,0,3289088,0.0000,1562,0.0,1,23,2208710,,1,,crc16=1588
2223729,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-64,1,2.92,1,1841560,0.0000,1562,0.0,1,23,2223729,,1,,crc16=36F3
2239584,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-69,1,2.67,2,1941504,0.0000,1562,0.0,1,23,2239584,,1,,crc16=F48E
2254662,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-65,1,2.81,3,1235352,0.0000,1562,0.0,1,23,2254662,,1,,crc16=F571
2254662,B,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,2254662,,2,BLOCK2,crc16=1D5A
2271691,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-66,1,2.88,4,2464968,0.0000,1562,0.0,1,23,2271691,,2,,crc16=8076
2288122,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-66,1,2.83,5,2410080,0.0000,1562,0.0,1,23,2288122,,2,,crc16=1D09
2304249,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-71,1,2.43,6,2910616,0.0000,1562,0.0,1,23,2304249,,2,,crc16=2DDA
2320636,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-66,1,3.41,7,1053488,0.0000,1562,0.0,1,23,2320636,,2,,crc16=1867
2320636,B,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,2320636,,3,BLOCK3,crc16=942F
2336585,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-66,1,3.48,8,2137288,0.0000,1562,0.0,1,23,2336585,,3,,crc16=F8EF
2351635,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-66,1,2.57,9,2877848,0.0000,1562,0.0,1,23,2351635,,3,,crc16=F20E
2366693,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-63,1,2.56,10,3362816,0.0000,1562,0.0,1,23,2366693,,3,,crc16=695F
2381741,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,-66,1,2.70,11,3366088,0.0000,1562,0.0,1,23,2381741,,3,,crc16=5B6A
2381819,E,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,2381819,,3,END_RUN,crc16=AA05
