timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
44440,E,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,27,44440,,0,START_RUN,crc16=EA4A
44469,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-68,1,1.75,0,0,0.0000,1562,35.6,1,27,44469,,0,,crc16=68EC
45470,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-64,1,2.87,1,0,0.0000,1562,36.1,1,27,45470,,0,,crc16=03FD
46470,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-62,1,2.91,2,0,0.0000,1562,35.6,1,27,46470,,0,,crc16=EF22
47473,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,5.89,3,0,0.0000,1562,36.1,1,27,47473,,0,,crc16=65A3
48470,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-63,1,2.88,4,0,0.0000,1562,36.1,1,27,48470,,0,,crc16=818B
49470,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,2.89,5,0,0.0000,1562,36.1,1,27,49470,,0,,crc16=DD46
50510,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-63,1,6.73,6,0,0.0000,1562,35.6,1,27,50510,,0,,crc16=29A1
51506,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-65,1,2.94,7,0,0.0000,1562,36.1,1,27,51506,,0,,crc16=70C5
52506,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-66,1,2.83,8,0,0.0000,1562,36.1,1,27,52506,,0,,crc16=CDFF
53506,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-64,1,3.32,9,0,0.0000,1562,35.6,1,27,53506,,0,,crc16=FE81
54504,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-73,1,2.91,10,0,0.0000,1562,36.1,1,27,54504,,0,,crc16=DCBC
55504,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-70,1,2.88,11,0,0.0000,1562,36.1,1,27,55504,,0,,crc16=167F
56506,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-71,1,4.44,12,0,0.0000,1562,35.6,1,27,56506,,0,,crc16=0A71
57510,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-69,1,9.66,13,0,0.0000,1562,36.7,1,27,57510,,0,,crc16=35D3
58502,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-75,1,2.99,14,0,0.0000,1562,36.1,1,27,58502,,0,,crc16=203E
59502,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-73,1,3.04,15,0,0.0000,1562,37.2,1,27,59502,,0,,crc16=79D3
60502,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-68,1,2.86,16,0,0.0000,1562,36.1,1,27,60502,,0,,crc16=E91C
61502,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,2.95,17,0,0.0000,1562,36.1,1,27,61502,,0,,crc16=0FC6
62504,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-66,1,4.50,18,0,0.0000,1562,36.1,1,27,62504,,0,,crc16=7B9D
63501,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-73,1,2.92,19,0,0.0000,1562,36.7,1,27,63501,,0,,crc16=E30D
64501,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,2.90,20,0,0.0000,1562,36.1,1,27,64501,,0,,crc16=919F
65501,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,2.97,21,0,0.0000,1562,36.1,1,27,65501,,0,,crc16=3E95
66501,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,2.94,22,0,0.0000,1562,36.1,1,27,66501,,0,,crc16=5282
67501,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-66,1,2.98,23,0,0.0000,1562,36.1,1,27,67501,,0,,crc16=4018
68501,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-62,1,2.96,24,0,0.0000,1562,36.1,1,27,68501,,0,,crc16=01CD
69501,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-68,1,3.03,25,0,0.0000,1562,36.1,1,27,69501,,0,,crc16=B552
70500,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-66,1,2.92,26,0,0.0000,1562,36.1,1,27,70500,,0,,crc16=83AF
71538,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-63,1,6.46,27,0,0.0000,1562,36.1,1,27,71538,,0,,crc16=2E46
72534,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-66,1,2.85,28,0,0.0000,1562,36.1,1,27,72534,,0,,crc16=50DE
73534,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-66,1,2.92,29,0,0.0000,1562,36.1,1,27,73534,,0,,crc16=D97E
74534,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,2.91,30,0,0.0000,1562,36.1,1,27,74534,,0,,crc16=C17B
75534,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,2.97,31,0,0.0000,1562,36.1,1,27,75534,,0,,crc16=8AEA
76534,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-68,1,2.95,32,0,0.0000,1562,36.1,1,27,76534,,0,,crc16=CF13
77534,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,2.90,33,0,0.0000,1562,36.1,1,27,77534,,0,,crc16=747B
78534,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-62,1,2.95,34,0,0.0000,1562,36.1,1,27,78534,,0,,crc16=883E
79534,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-63,1,2.94,35,0,0.0000,1562,36.1,1,27,79534,,0,,crc16=880F
80534,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-63,1,2.91,36,0,0.0000,1562,36.1,1,27,80534,,0,,crc16=8FD3
81536,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-67,1,4.39,37,0,0.0000,1562,36.1,1,27,81536,,0,,crc16=5B1D
82533,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-63,1,2.88,38,0,0.0000,1562,36.1,1,27,82533,,0,,crc16=571A
83533,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-63,1,2.86,39,0,0.0000,1562,36.1,1,27,83533,,0,,crc16=48B4
84533,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R02,-68,1,3.13,40,0,0.0000,1562,36.1,1,27,84533,,0,,crc16=1EAD
