antenna,score,rssi_p10_dbm,tput_median_bps,plr_median_pct,ttr_median_s
A41,57.2,-67,1896448,0.0,999.0
A42,52.8,-69,2410080,0.0,999.0
A51,76.7,-66,2960584,0.0,999.0
A52,67.8,-64,1435232,0.0,999.0
A53,100.0,-63,3461936,0.0,999.0
