timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
1482136,E,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,1482136,,1,START_RUN,crc16=744F
1482307,B,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,1482307,,1,BLOCK1,crc16=EB1E
1500412,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-54,1,2.52,0,0,0.0000,1562,0.0,1,23,1500412,,1,,crc16=3D69
1518415,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-57,1,2.40,1,0,0.0000,1562,0.0,1,23,1518415,,1,,crc16=268A
1536450,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-53,1,2.54,2,0,0.0000,1562,0.0,1,23,1536450,,1,,crc16=0D81
1554482,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-59,1,2.47,3,0,0.0000,1562,0.0,1,23,1554482,,1,,crc16=E38E
1554482,B,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,1554482,,2,BLOCK2,crc16=5B01
1573439,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-55,1,2.46,4,0,0.0000,1562,0.0,1,23,1573439,,2,,crc16=6097
1591478,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-59,1,2.58,5,0,0.0000,1562,0.0,1,23,1591478,,2,,crc16=3BA7
1609518,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-55,1,2.57,6,0,0.0000,1562,0.0,1,23,1609518,,2,,crc16=8BF0
1627551,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-54,1,2.50,7,0,0.0000,1562,0.0,1,23,1627551,,2,,crc16=02F5
1627551,B,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,1627551,,3,BLOCK3,crc16=1EB7
1646455,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-55,1,2.49,8,0,0.0000,1562,0.0,1,23,1646455,,3,,crc16=EE06
1664461,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-53,1,2.50,9,0,0.0000,1562,0.0,1,23,1664461,,3,,crc16=94C8
1682499,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-54,1,2.53,10,0,0.0000,1562,0.0,1,23,1682499,,3,,crc16=AB40
1700535,S,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,-55,1,2.50,11,0,0.0000,1562,0.0,1,23,1700535,,3,,crc16=984A
1700654,E,A,F3B,A52,MESA,DES,BURN_A52_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,23,1700654,,3,END_RUN,crc16=1436
