timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
1235499,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1235499,,1,START_RUN,crc16=9D1C
1235501,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1235501,,1,BLOCK1,crc16=6E2B
1253594,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-59,1,2.50,0,0,0.0000,1562,0.0,1,23,1253594,,1,,crc16=EF94
1271628,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-59,1,2.47,1,0,0.0000,1562,0.0,1,23,1271628,,1,,crc16=C1ED
1289667,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-60,1,2.56,2,0,0.0000,1562,0.0,1,23,1289667,,1,,crc16=BF3A
1307702,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-59,1,2.52,3,0,0.0000,1562,0.0,1,23,1307702,,1,,crc16=5CA4
1307702,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1307702,,2,BLOCK2,crc16=9CD0
1326613,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-56,1,2.40,4,0,0.0000,1562,0.0,1,23,1326613,,2,,crc16=ADA4
1344642,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-56,1,2.40,5,0,0.0000,1562,0.0,1,23,1344642,,2,,crc16=3711
1362680,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-56,1,2.60,6,0,0.0000,1562,0.0,1,23,1362680,,2,,crc16=0BA1
1380706,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-55,1,2.55,7,0,0.0000,1562,0.0,1,23,1380706,,2,,crc16=E162
1380706,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1380706,,3,BLOCK3,crc16=5D93
1399653,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-56,1,2.68,8,0,0.0000,1562,0.0,1,23,1399653,,3,,crc16=4D91
1417690,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-59,1,2.55,9,0,0.0000,1562,0.0,1,23,1417690,,3,,crc16=F803
1435733,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-63,1,2.65,10,0,0.0000,1562,0.0,1,23,1435733,,3,,crc16=7F92
1453739,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,-58,1,2.54,11,0,0.0000,1562,0.0,1,23,1453739,,3,,crc16=30F4
1453834,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1453834,,3,END_RUN,crc16=4B07
