timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
1756075,E,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1756075,,1,START_RUN,crc16=2646
1756077,B,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1756077,,1,BLOCK1,crc16=6525
1774197,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-65,1,2.82,0,0,0.0000,1562,0.0,1,23,1774197,,1,,crc16=EA49
1792214,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-68,1,2.59,1,0,0.0000,1562,0.0,1,23,1792214,,1,,crc16=45FD
1810255,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-68,1,2.63,2,0,0.0000,1562,0.0,1,23,1810255,,1,,crc16=4B0A
1828292,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-66,1,2.56,3,0,0.0000,1562,0.0,1,23,1828292,,1,,crc16=0633
1828292,B,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1828292,,2,BLOCK2,crc16=D996
1847232,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-68,1,2.55,4,0,0.0000,1562,0.0,1,23,1847232,,2,,crc16=6D52
1865277,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-66,1,2.63,5,0,0.0000,1562,0.0,1,23,1865277,,2,,crc16=2A52
1883314,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-68,1,2.52,6,0,0.0000,1562,0.0,1,23,1883314,,2,,crc16=54C4
1901353,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-64,1,2.57,7,0,0.0000,1562,0.0,1,23,1901353,,2,,crc16=DA2E
1901353,B,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1901353,,3,BLOCK3,crc16=2C55
1920255,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-69,1,8.02,8,0,0.0000,1562,0.0,1,23,1920255,,3,,crc16=6FAB
1938308,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-67,1,44.44,9,0,16.6667,1562,0.0,1,23,1938308,,3,,crc16=4D19
1956321,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-70,1,3.13,10,0,0.0000,1562,0.0,1,23,1956321,,3,,crc16=69AE
1971356,S,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,-67,1,2.43,11,3318576,0.0000,1562,0.0,1,23,1971356,,3,,crc16=E878
1971452,E,A,F3B,A42,MESA,DES,BURN_A42_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,23,1971452,,3,END_RUN,crc16=E404
