timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
33324,E,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,22,33324,,1,START_RUN,crc16=1B8A
33326,B,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,22,33326,,1,BLOCK1,crc16=EB42
48783,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-62,1,2.80,0,3535664,2.3810,1562,0.0,1,22,48783,,1,,crc16=7F2D
63842,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-63,1,2.95,1,3541400,0.0000,1562,0.0,1,22,63842,,1,,crc16=C5C7
78890,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-63,1,2.95,2,3510272,0.0000,1562,0.0,1,22,78890,,1,,crc16=B7DB
93943,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-59,1,2.91,3,3539760,0.0000,1562,0.0,1,22,93943,,1,,crc16=9159
93943,B,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,22,93943,,2,BLOCK2,crc16=9333
110017,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-63,1,4.23,4,2950752,0.0000,1562,0.0,1,22,110017,,2,,crc16=40EF
125073,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-63,1,3.05,5,3545496,0.0000,1562,0.0,1,22,125073,,2,,crc16=4A3E
140126,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-59,1,2.97,6,3496344,0.0000,1562,0.0,1,22,140126,,2,,crc16=94E7
155382,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-63,1,2.79,7,3392304,0.0000,1562,0.0,1,22,155382,,2,,crc16=CDD8
155382,B,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,22,155382,,3,BLOCK3,crc16=B0E0
171361,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-59,1,2.84,8,3553688,0.0000,1562,0.0,1,22,171361,,3,,crc16=8987
186613,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-59,1,2.72,9,3545496,0.0000,1562,0.0,1,22,186613,,3,,crc16=6F9F
201870,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-62,1,2.71,10,3448008,0.0000,1562,0.0,1,22,201870,,3,,crc16=060F
216929,S,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,-62,1,3.18,11,3461936,0.0000,1562,0.0,1,22,216929,,3,,crc16=6E4A
217021,E,A,F3B,A53,MESA,DES,BURN_A53_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,22,217021,,3,END_RUN,crc16=F0F3
