timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
70566,E,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,19,70566,,1,START_RUN,crc16=B72F
70568,B,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,19,70568,,1,BLOCK1,crc16=7958
85686,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-74,1,2.49,0,1046112,0.0000,1562,0.0,1,19,85686,,1,,crc16=53D3
101837,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-73,1,3.40,1,3528288,0.0000,1562,0.0,1,19,101837,,1,,crc16=F88C
116888,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-72,1,2.51,2,3022848,0.0000,1562,0.0,1,19,116888,,1,,crc16=FCE2
132101,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-68,1,2.57,3,2592768,0.0000,1562,0.0,1,19,132101,,1,,crc16=BA03
132101,B,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,19,132101,,2,BLOCK2,crc16=D55E
148079,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-67,1,2.45,4,3156376,0.0000,1562,0.0,1,19,148079,,2,,crc16=45DF
163129,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-66,1,2.36,5,3627416,0.0000,1562,0.0,1,19,163129,,2,,crc16=B2B6
178181,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-67,1,2.50,6,3181768,0.0000,1562,0.0,1,19,178181,,2,,crc16=16ED
193217,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-67,1,2.42,7,3724080,0.0000,1562,0.0,1,19,193217,,2,,crc16=23A5
193217,B,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,19,193217,,3,BLOCK3,crc16=3B1A
209309,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-64,1,2.36,8,2982704,0.0000,1562,0.0,1,19,209309,,3,,crc16=FDC6
224364,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-61,1,2.63,9,3639704,0.0000,1562,0.0,1,19,224364,,3,,crc16=54CC
239619,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-65,1,2.52,10,3034312,0.0000,1562,0.0,1,19,239619,,3,,crc16=7BA8
254677,S,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,-67,1,2.72,11,3052336,0.0000,1562,0.0,1,19,254677,,3,,crc16=A283
254753,E,A,F3B,A41,MESA,DES,BURN_A41_MESA_DES_R03,0,0,0.00,0,0,0.0000,0,0.0,0,19,254753,,3,END_RUN,crc16=A88C
