timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
51504,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,34,51504,,1,START_RUN,crc16=996F
51506,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,34,51506,,1,BLOCK1,crc16=52E7
69669,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-55,1,84.24,0,0,0.0000,1562,35.0,1,34,69669,,1,,crc16=19BD
88103,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-53,1,170.81,1,0,25.0000,1562,35.0,1,34,88103,,1,,crc16=4A00
106126,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-51,1,88.52,2,0,6.6667,1562,35.0,1,34,106126,,1,,crc16=AA49
124148,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-53,1,80.58,3,0,6.2500,1562,35.6,1,34,124148,,1,,crc16=BC1F
124149,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,34,124149,,2,BLOCK2,crc16=39AD
143501,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-53,1,139.39,4,0,22.2222,1562,35.6,1,34,143501,,2,,crc16=7E94
161626,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-52,1,84.60,5,0,0.0000,1562,35.6,1,34,161626,,2,,crc16=EC0E
179986,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-54,1,18.48,6,0,50.0000,1562,35.6,1,34,179986,,2,,crc16=ED81
198082,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-52,1,76.09,7,0,5.8824,1562,35.0,1,34,198082,,2,,crc16=A071
198083,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,34,198083,,3,BLOCK3,crc16=06DC
217889,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-53,1,33.34,8,0,25.0000,1562,35.0,1,34,217889,,3,,crc16=A97F
236590,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-52,1,126.58,9,0,18.1818,1562,35.0,1,34,236590,,3,,crc16=CA81
254594,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-53,1,62.04,10,0,20.0000,1562,35.0,1,34,254594,,3,,crc16=DF49
273608,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,-53,1,57.04,11,0,27.2727,1562,35.6,1,34,273608,,3,,crc16=1224
273691,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R04,0,0,0.00,0,0,0.0000,0,0.0,0,34,273691,,3,END_RUN,crc16=C14E
