timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
446581,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,0,0,0.00,0,0,0.0000,0,0.0,0,39,446581,,1,START_RUN,crc16=0B3D
446583,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,0,0,0.00,0,0,0.0000,0,0.0,0,39,446583,,1,BLOCK1,crc16=74D5
461968,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-56,1,19.55,0,5740953,12.5000,1562,37.8,1,39,461968,,1,,crc16=B2F0
477967,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-60,1,67.12,1,5603328,5.0000,1562,37.8,1,39,477967,,1,,crc16=DA5A
493475,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-58,1,89.00,2,4351590,0.0000,1562,38.3,1,39,493475,,1,,crc16=705A
509725,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-57,1,150.07,3,1209139,9.0909,1562,38.3,1,39,509725,,1,,crc16=C731
509726,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,0,0,0.00,0,0,0.0000,0,0.0,0,39,509726,,2,BLOCK2,crc16=1363
517393,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-57,1,58.83,4,865075,5.2632,1562,37.8,1,39,517393,,2,,crc16=EC56
533654,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-57,1,80.44,5,4010803,0.0000,1562,38.9,1,39,533654,,2,,crc16=7A47
549011,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-56,1,52.97,6,3860070,14.2857,1562,37.8,1,39,549011,,2,,crc16=24CC
564124,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-57,1,120.10,7,3771596,7.6923,1562,38.3,1,39,564124,,2,,crc16=A11F
579229,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-57,1,94.29,8,4731699,6.6667,1562,38.9,1,39,579229,,2,,crc16=3ECB
579230,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,0,0,0.00,0,0,0.0000,0,0.0,0,39,579230,,3,BLOCK3,crc16=6B33
595158,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-57,1,106.33,9,3656908,0.0000,1562,38.9,1,39,595158,,3,,crc16=F342
611516,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-61,1,76.89,10,4544921,5.8824,1562,38.3,1,39,611516,,3,,crc16=9113
626627,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-60,1,135.06,11,2562457,8.3333,1562,38.9,1,39,626627,,3,,crc16=287A
641908,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,-58,1,113.23,12,4643225,7.6923,1562,38.9,1,39,641908,,3,,crc16=5A61
642012,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R06,0,0,0.00,0,0,0.0000,0,0.0,0,39,642012,,3,END_RUN,crc16=367C
