timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
2630494,E,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,25,2630494,,0,START_RUN,crc16=A78B
2630577,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-59,1,2.89,0,0,0.0000,1562,37.2,1,25,2630577,,0,,crc16=CAFF
2631077,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-57,1,2.89,1,0,0.0000,1562,37.2,1,25,2631077,,0,,crc16=7DC0
2631576,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-58,1,2.47,2,0,0.0000,1562,38.3,1,25,2631576,,0,,crc16=F07D
2632075,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-56,1,2.84,3,0,0.0000,1562,38.3,1,25,2632075,,0,,crc16=9339
2632574,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-60,1,2.24,4,0,0.0000,1562,37.8,1,25,2632574,,0,,crc16=B263
2633073,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-59,1,2.92,5,0,0.0000,1562,37.8,1,25,2633073,,0,,crc16=72CA
2633573,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-63,1,2.95,6,0,0.0000,1562,37.2,1,25,2633573,,0,,crc16=5F25
2634072,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-61,1,2.16,7,0,0.0000,1562,37.2,1,25,2634072,,0,,crc16=7619
2634573,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-62,1,2.86,8,0,0.0000,1562,37.8,1,25,2634573,,0,,crc16=0EF8
2635077,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-63,1,6.95,9,0,0.0000,1562,37.8,1,25,2635077,,0,,crc16=5F71
2635573,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-64,1,3.11,10,0,0.0000,1562,37.8,1,25,2635573,,0,,crc16=3D89
2636072,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-58,1,3.13,11,0,0.0000,1562,37.8,1,25,2636072,,0,,crc16=321A
2636573,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-63,1,3.23,12,0,0.0000,1562,37.2,1,25,2636573,,0,,crc16=DEB0
2637071,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-63,1,2.87,13,0,0.0000,1562,37.2,1,25,2637071,,0,,crc16=C3E8
2637574,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-58,1,6.05,14,0,0.0000,1562,37.8,1,25,2637574,,0,,crc16=3C98
2638071,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-58,1,2.86,15,0,0.0000,1562,37.8,1,25,2638071,,0,,crc16=30D4
2638571,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-58,1,2.88,16,0,0.0000,1562,37.8,1,25,2638571,,0,,crc16=5601
2639071,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-64,1,3.23,17,0,0.0000,1562,37.8,1,25,2639071,,0,,crc16=2D27
2639570,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-64,1,2.90,18,0,0.0000,1562,37.2,1,25,2639570,,0,,crc16=4A4C
2640071,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-58,1,3.73,19,0,0.0000,1562,37.2,1,25,2640071,,0,,crc16=1DEC
2640623,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-64,1,4.77,20,0,0.0000,1562,37.8,1,25,2640623,,0,,crc16=796A
2641121,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-58,1,3.54,21,0,0.0000,1562,37.8,1,25,2641121,,0,,crc16=52B6
2641620,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-57,1,2.87,22,0,0.0000,1562,37.8,1,25,2641620,,0,,crc16=AB25
2642120,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-56,1,2.91,23,0,0.0000,1562,37.8,1,25,2642120,,0,,crc16=4A99
2642620,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-56,1,2.84,24,0,0.0000,1562,37.8,1,25,2642620,,0,,crc16=13D4
2643119,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-63,1,2.99,25,0,0.0000,1562,37.8,1,25,2643119,,0,,crc16=2FC2
2643619,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-56,1,2.88,26,0,0.0000,1562,37.8,1,25,2643619,,0,,crc16=F838
2644121,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-56,1,4.14,27,0,0.0000,1562,37.8,1,25,2644121,,0,,crc16=DFA9
2644618,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-62,1,2.85,28,0,0.0000,1562,38.3,1,25,2644618,,0,,crc16=6CC9
2645118,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-57,1,2.92,29,0,0.0000,1562,38.3,1,25,2645118,,0,,crc16=3EFC
2645618,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-57,1,2.85,30,0,0.0000,1562,37.8,1,25,2645618,,0,,crc16=41B9
2646118,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-62,1,2.93,31,0,0.0000,1562,37.8,1,25,2646118,,0,,crc16=88EC
2646622,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-62,1,6.44,32,0,0.0000,1562,37.8,1,25,2646622,,0,,crc16=2E00
2647119,S,B,F1,A41,MESA,DES,WALK_A41_MESA_DES_R01,-62,1,3.99,33,0,0.0000,1562,37.8,1,25,2647119,,0,,crc16=9E41
