timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
253506,E,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,0,0,0.00,0,0,0.0000,0,0.0,0,31,253506,,0,START_RUN,crc16=7708
253535,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-52,1,1.73,0,0,0.0000,1562,35.6,1,31,253535,,0,,crc16=36B9
254035,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-53,1,2.95,1,0,0.0000,1562,35.6,1,31,254035,,0,,crc16=1C9E
254535,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-52,1,2.86,2,0,0.0000,1562,35.6,1,31,254535,,0,,crc16=4F25
255035,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-53,1,2.94,3,0,0.0000,1562,35.6,1,31,255035,,0,,crc16=6AA5
255534,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-53,1,2.03,4,0,0.0000,1562,36.7,1,31,255534,,0,,crc16=2C4E
256035,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-53,1,3.05,5,0,0.0000,1562,36.7,1,31,256035,,0,,crc16=F026
256535,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-50,1,2.94,6,0,0.0000,1562,35.6,1,31,256535,,0,,crc16=3D9E
257035,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-59,1,2.97,7,0,0.0000,1562,35.6,1,31,257035,,0,,crc16=1BF1
257535,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-50,1,2.87,8,0,0.0000,1562,35.6,1,31,257535,,0,,crc16=4B35
258035,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-59,1,2.91,9,0,0.0000,1562,35.6,1,31,258035,,0,,crc16=CC3C
258534,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-59,1,1.92,10,0,0.0000,1562,36.1,1,31,258534,,0,,crc16=BB87
259035,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-51,1,2.52,11,0,0.0000,1562,36.1,1,31,259035,,0,,crc16=42FF
259534,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-59,1,2.93,12,0,0.0000,1562,35.6,1,31,259534,,0,,crc16=C3E9
260036,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-51,1,4.85,13,0,0.0000,1562,35.6,1,31,260036,,0,,crc16=C97D
260534,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-51,1,2.52,14,0,0.0000,1562,35.6,1,31,260534,,0,,crc16=EA95
261091,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-59,1,2.44,15,0,0.0000,1562,35.6,1,31,261091,,0,,crc16=6060
261589,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-60,1,1.67,16,0,0.0000,1562,36.7,1,31,261589,,0,,crc16=4FA8
262089,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-51,1,2.87,17,0,0.0000,1562,36.7,1,31,262089,,0,,crc16=A80A
262589,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-59,1,2.95,18,0,0.0000,1562,36.1,1,31,262589,,0,,crc16=3BE5
263089,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-51,1,3.14,19,0,0.0000,1562,36.1,1,31,263089,,0,,crc16=761B
263588,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-51,1,2.94,20,0,0.0000,1562,36.1,1,31,263588,,0,,crc16=8E13
264088,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-57,1,2.93,21,0,0.0000,1562,36.1,1,31,264088,,0,,crc16=E3B4
264587,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-57,1,1.58,22,0,0.0000,1562,36.1,1,31,264587,,0,,crc16=03E7
265087,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-59,1,2.93,23,0,0.0000,1562,36.1,1,31,265087,,0,,crc16=F33D
265587,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R02,-50,1,2.93,24,0,0.0000,1562,36.1,1,31,265587,,0,,crc16=53BE
